mAP_iou0.5_conf0.3,F1_iou0.5_conf0.3,mAP_iou0.75_conf0.3,F1_iou0.75_conf0.3,mAP_iou0.5_conf0.5,F1_iou0.5_conf0.5,mAP_iou0.75_conf0.5,F1_iou0.75_conf0.5,mAP_iou0.5_conf0.7,F1_iou0.5_conf0.7,mAP_iou0.75_conf0.7,F1_iou0.75_conf0.7,total_unripe,total_ripe,detected_unripe,detected_ripe,detection_rate_unripe,detection_rate_ripe,fold,n_images,evaluation_time
0.6043829666675806,0.7216321379745504,0.24326182385677841,0.32874119255442213,0.6043829666675806,0.7285806313077088,0.24326182385677841,0.3341206785484217,0.6043829666675806,0.7303358250585742,0.24326182385677841,0.34095726877161664,1722,3299,1186,3107,0.6887340301974448,0.9418005456198848,1,56,16.45372772216797
0.6329604296361324,0.7082544279826222,0.23706424707724089,0.3130221677620586,0.598934194739459,0.7139442231075697,0.23706424707724089,0.31804211724530446,0.5626599238807377,0.7117758784425452,0.23706424707724089,0.3245489078822412,1486,3194,1184,2921,0.7967698519515478,0.9145272385723231,2,56,15.914995908737183
0.5947396051686826,0.6961166128852788,0.1938732077556422,0.2988761544453099,0.5947396051686826,0.7048357664233578,0.1938732077556422,0.302691605839416,0.5598618291661264,0.7043935052531041,0.1938732077556422,0.3061127029608405,1630,3118,1111,2909,0.6815950920245398,0.9329698524695318,3,56,15.856696128845215
0.6008707915396422,0.7140157830387907,0.25666198692220765,0.3383350005557408,0.6008707915396422,0.7204374572795625,0.25666198692220765,0.34518113465481887,0.6008707915396422,0.7181937641858799,0.25666198692220765,0.350734679249791,1830,2837,1318,2793,0.7202185792349727,0.9844906591469863,4,56,15.955225467681885
0.5991672431282636,0.7112722478576137,0.20720727758745947,0.30366952318171836,0.5991672431282636,0.7165655203416498,0.20720727758745947,0.3072600584400989,0.5633261498074356,0.7144524865748307,0.20720727758745947,0.3114639271538641,1782,3057,1215,2844,0.6818181818181818,0.930323846908734,5,56,15.69480276107788
0.638995615575668,0.7173653991983534,0.27576856765119373,0.3464413389665259,0.638995615575668,0.7235790408525755,0.27576856765119373,0.35257548845470693,0.5662005155786735,0.7231966546637241,0.2560112165685414,0.361017539783947,1562,3174,1167,3105,0.7471190781049936,0.9782608695652174,6,56,15.888253688812256
0.6005335071796942,0.7155347702318015,0.2528898392034512,0.34180561203741355,0.6005335071796942,0.722372528616025,0.2528898392034512,0.34672216441207077,0.6005335071796942,0.7202432667245874,0.2528898392034512,0.35273675065160726,1867,3256,1252,3235,0.6705945366898768,0.9935503685503686,7,56,17.00571298599243
0.5974814887505207,0.7092749769915123,0.2353214061308336,0.318232948154208,0.5626548548137302,0.7132299365046321,0.2353214061308336,0.3220568335588634,0.5626548548137302,0.709635557478101,0.2353214061308336,0.3257272628960744,1640,3567,1164,3236,0.7097560975609756,0.9072049341183067,8,56,18.01246213912964
0.6416106264096925,0.7177914110429449,0.28945462528575083,0.34446716655305615,0.6416106264096925,0.7251394052044609,0.28945462528575083,0.3503717472118959,0.5676931156284586,0.725181598062954,0.28945462528575083,0.35859564164648905,1446,3108,1091,2963,0.7544951590594744,0.9533462033462033,9,56,16.538127660751343
0.643255772158676,0.7244164177453258,0.28478731425209125,0.3540214625511671,0.6052170354635094,0.7306690818521453,0.28478731425209125,0.3600135854183176,0.6052170354635094,0.7290094339622643,0.26425033827470074,0.3669811320754717,1453,3217,1040,3123,0.7157604955264969,0.9707802300279764,10,56,16.248371124267578
0.5964739488391813,0.7043016578177484,0.20789494006582138,0.303608191570051,0.5964739488391813,0.7096916786385236,0.20789494006582138,0.3063321914023649,0.5607991613395763,0.7084053960567277,0.20789494006582138,0.3101579614896806,1669,3225,1163,2992,0.6968244457759137,0.9277519379844962,11,55,17.0151789188385
0.595783108083094,0.7083022487477353,0.21212433041789627,0.31610359160183304,0.595783108083094,0.7130001084245908,0.21212433041789627,0.31963569337525755,0.561120800693514,0.7103751267320041,0.21212433041789627,0.32375802636025686,1667,3270,1183,3103,0.7096580683863227,0.9489296636085627,12,55,17.330525636672974
